@relation PowerConsumption-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Discretize-F-B8-M-1.0-Rfirst-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R2-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-Rlast-weka.filters.unsupervised.attribute.Discretize-B6-M-1.0-Rlast-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rlast-weka.filters.unsupervised.attribute.Discretize-F-B3-M-1.0-Rlast-weka.filters.unsupervised.attribute.Discretize-F-B11-M-1.0-Rlast-weka.filters.unsupervised.attribute.Discretize-F-B2-M-1.0-Rlast-weka.filters.unsupervised.attribute.Discretize-F-B30-M-1.0-Rlast-weka.filters.unsupervised.attribute.Discretize-B30-M-1.0-Rlast

@attribute hour {'\'(-inf-2.5]\'','\'(2.5-5.5]\'','\'(5.5-8.5]\'','\'(8.5-11.5]\'','\'(11.5-14.5]\'','\'(14.5-17.5]\'','\'(17.5-20.5]\'','\'(20.5-inf)\''}
@attribute amps_avg {'\'(-inf-0.1281]\'','\'(0.1281-0.209533]\'','\'(0.209533-0.290967]\'','\'(0.290967-0.3724]\'','\'(0.3724-inf)\''}
@attribute kw_avg numeric

@data
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',30.321667
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',39.445
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',37.03
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',35.151667
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',24.15
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',19.32
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',24.418333
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',27.638333
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',33.005
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',35.688333
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',30.59
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',25.76
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',22.808333
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',16.905
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',23.076667
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',32.468333
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',35.151667
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',34.615
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',35.688333
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',30.59
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',21.735
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',26.028333
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',27.906667
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',28.711667
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',30.053333
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',27.101667
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',21.466667
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',22.54
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',27.37
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',30.858333
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',35.688333
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',32.2
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',32.2
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',30.321667
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',31.931667
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',34.615
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',36.761667
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',32.468333
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',21.466667
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',30.321667
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',31.395
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',32.736667
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',34.883333
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',28.443333
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',23.345
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',24.955
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',27.101667
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',34.078333
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',40.518333
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',38.103333
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',34.615
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',31.395
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',23.881667
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',25.76
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',25.76
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',22.808333
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',30.858333
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',38.64
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',34.346667
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',27.906667
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',21.466667
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',22.808333
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',25.76
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',30.858333
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',37.298333
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',36.225
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',34.615
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',28.711667
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',30.59
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',28.175
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',29.516667
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',23.613333
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',26.028333
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',34.078333
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',34.346667
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',36.493333
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',33.541667
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',24.418333
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',20.661667
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',22.808333
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',22.54
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',31.663333
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',33.541667
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',32.2
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',36.225
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',32.468333
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',30.59
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',30.053333
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',28.711667
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',31.126667
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',36.761667
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',40.518333
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',37.835
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',36.225
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',26.833333
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',31.126667
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',29.248333
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',28.175
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',35.688333
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',33.005
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',38.103333
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',46.69
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',45.616667
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',34.078333
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',30.858333
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',23.076667
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',17.71
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',25.491667
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',28.175
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',36.493333
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',37.566667
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',24.955
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',25.491667
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',24.418333
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',22.003333
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',31.395
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',42.665
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',42.396667
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',43.201667
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',30.59
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',22.271667
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',23.613333
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',27.101667
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',30.321667
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',31.395
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',29.248333
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',24.15
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',21.198333
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',22.808333
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',24.686667
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',24.955
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',27.906667
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',44.543333
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',38.908333
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',37.566667
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',33.541667
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',24.955
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',26.565
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',26.833333
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',23.345
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',23.881667
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',26.028333
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',28.175
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',28.711667
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',28.443333
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',22.808333
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',25.76
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',34.078333
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',42.665
'\'(-inf-2.5]\'','\'(0.209533-0.290967]\'',48.836667
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',43.47
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',31.931667
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',28.175
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',19.32
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',19.856667
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',22.003333
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',24.955
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',28.98
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',34.883333
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',31.663333
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',27.37
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',22.271667
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',27.638333
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',34.346667
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',39.713333
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',38.103333
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',36.493333
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',31.126667
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',34.346667
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',29.516667
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',19.051667
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',18.783333
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',16.636667
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',13.416667
'\'(-inf-2.5]\'','\'(-inf-0.1281]\'',20.93
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',30.59
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',35.688333
'\'(-inf-2.5]\'','\'(0.1281-0.209533]\'',37.03
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',36.493333
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',34.078333
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',32.468333
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',31.931667
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',28.98
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',34.078333
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',32.736667
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',30.053333
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',27.906667
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',16.368333
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',18.246667
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',22.271667
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',22.271667
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',29.785
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',39.981667
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',33.541667
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',40.786667
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',41.323333
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',34.615
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',25.76
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',21.466667
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',19.051667
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',23.881667
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',29.516667
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',33.005
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',29.785
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',28.175
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',24.955
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',19.856667
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',24.955
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',37.03
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',39.445
'\'(2.5-5.5]\'','\'(0.209533-0.290967]\'',50.446667
'\'(2.5-5.5]\'','\'(0.209533-0.290967]\'',53.398333
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',39.713333
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',26.833333
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',26.833333
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',26.296667
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',28.443333
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',31.126667
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',30.053333
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',32.468333
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',29.516667
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',26.565
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',28.175
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',29.785
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',30.053333
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',40.518333
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',37.566667
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',34.615
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',35.42
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',27.37
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',27.37
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',27.37
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',23.345
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',24.686667
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',29.785
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',31.663333
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',27.906667
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',24.686667
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',22.271667
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',23.881667
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',32.468333
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',33.81
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',39.445
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',31.126667
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',31.663333
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',24.955
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',22.808333
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',26.565
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',28.711667
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',27.101667
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',36.225
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',31.931667
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',27.101667
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',22.54
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',21.735
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',24.955
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',30.321667
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',28.98
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',28.98
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',27.906667
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',30.321667
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',35.956667
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',30.053333
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',27.101667
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',26.833333
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',21.466667
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',27.906667
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',34.615
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',36.225
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',34.078333
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',29.785
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',28.98
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',27.37
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',22.808333
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',29.785
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',38.371667
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',36.225
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',36.493333
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',24.686667
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',23.613333
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',26.565
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',25.76
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',23.345
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',35.151667
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',30.59
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',36.761667
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',39.713333
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',31.931667
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',24.686667
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',22.808333
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',20.125
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',24.15
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',31.395
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',36.761667
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',40.25
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',30.053333
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',24.15
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',16.368333
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',14.49
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',22.271667
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',34.346667
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',43.738333
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',45.885
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',32.468333
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',22.808333
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',21.735
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',21.466667
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',27.638333
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',33.81
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',38.64
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',39.981667
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',31.126667
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',24.686667
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',27.906667
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',24.955
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',28.98
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',38.371667
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',38.371667
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',30.321667
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',32.2
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',31.931667
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',28.443333
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',28.175
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',26.296667
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',24.15
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',29.248333
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',30.59
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',33.005
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',27.906667
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',31.931667
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',30.321667
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',33.541667
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',40.518333
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',36.225
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',34.078333
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',32.468333
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',22.003333
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',18.515
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',22.54
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',27.101667
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',27.906667
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',34.883333
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',34.883333
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',30.59
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',27.906667
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',31.126667
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',37.298333
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',31.395
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',28.443333
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',34.346667
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',31.663333
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',27.37
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',30.858333
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',25.76
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',17.71
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',18.246667
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',16.368333
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',18.515
'\'(5.5-8.5]\'','\'(0.1281-0.209533]\'',31.663333
'\'(5.5-8.5]\'','\'(0.1281-0.209533]\'',45.08
'\'(5.5-8.5]\'','\'(0.1281-0.209533]\'',45.08
'\'(5.5-8.5]\'','\'(0.1281-0.209533]\'',46.958333
'\'(5.5-8.5]\'','\'(-inf-0.1281]\'',26.296667
'\'(5.5-8.5]\'','\'(-inf-0.1281]\'',19.856667
'\'(5.5-8.5]\'','\'(-inf-0.1281]\'',22.808333
'\'(5.5-8.5]\'','\'(-inf-0.1281]\'',24.418333
'\'(5.5-8.5]\'','\'(0.1281-0.209533]\'',33.273333
'\'(5.5-8.5]\'','\'(0.1281-0.209533]\'',36.493333
'\'(5.5-8.5]\'','\'(0.1281-0.209533]\'',34.078333
'\'(5.5-8.5]\'','\'(-inf-0.1281]\'',25.76
'\'(5.5-8.5]\'','\'(-inf-0.1281]\'',19.32
'\'(5.5-8.5]\'','\'(-inf-0.1281]\'',14.49
'\'(5.5-8.5]\'','\'(-inf-0.1281]\'',19.32
'\'(5.5-8.5]\'','\'(-inf-0.1281]\'',22.54
'\'(5.5-8.5]\'','\'(0.1281-0.209533]\'',40.518333
'\'(5.5-8.5]\'','\'(0.1281-0.209533]\'',43.47
'\'(5.5-8.5]\'','\'(0.1281-0.209533]\'',44.006667
'\'(5.5-8.5]\'','\'(0.1281-0.209533]\'',37.298333
'\'(5.5-8.5]\'','\'(0.1281-0.209533]\'',29.785
'\'(5.5-8.5]\'','\'(-inf-0.1281]\'',24.418333
